config,psnr,ssim,entropy,eme,cii,colorfulness,delta_e
clahe  [paper],24.4775,0.86,6.7054,34.2787,0.9841,63.6562,3.7373
clahe_sk,19.3477,0.664,7.1807,40.4699,0.9989,64.3848,7.0814
he,24.8649,0.8472,7.013,51.5862,1.0256,68.0877,3.3347
bbhe,24.5539,0.8328,7.0919,51.7224,1.0469,66.6832,4.027
dsihe,24.5308,0.8325,7.1036,51.4973,1.0458,66.481,4.0477
agcwd,20.491,0.6889,6.2386,18.3549,0.9528,58.7407,7.8312
ssr,17.5405,0.728,6.8635,58.7369,0.8093,56.7222,9.4842
msr,19.3466,0.7412,6.9412,65.411,0.8492,55.4521,8.0052
stretch,32.9738,0.9534,6.5866,55.2556,1.038,65.5079,1.0428
tophat,23.9675,0.7557,6.6484,30.3509,0.9986,62.3114,3.2822
log,16.4843,0.6182,5.6365,15.7572,0.6921,46.5296,13.3735
none,30.6982,0.9464,6.4768,27.4767,0.9682,62.1662,1.9243
