config,psnr,ssim,entropy,eme,cii,colorfulness,delta_e,sr_actual
clahe  [paper],23.0071,0.8261,7.5643,44.0238,0.9319,61.0521,5.2818,srgan_v
clahe_sk,13.504,0.4545,7.4634,90.7179,0.8685,61.607,15.8265,srgan_v
he,29.1341,0.9117,7.4719,36.1543,0.9481,64.924,3.0686,srgan_v
bbhe,28.8,0.9141,7.4738,35.2654,0.9483,63.4268,3.1542,srgan_v
dsihe,28.8661,0.9138,7.467,34.2572,0.9512,63.2924,3.1094,srgan_v
agcwd,23.0158,0.8539,6.189,11.2535,1.0108,62.5154,6.5144,srgan_v
ssr,14.6976,0.6947,6.8089,14.5418,0.7559,43.1686,14.1808,srgan_v
msr,15.3653,0.7085,6.7511,12.6352,0.7582,42.6071,12.9581,srgan_v
stretch,31.1583,0.9515,7.2451,15.7864,0.9933,65.4821,2.7994,srgan_v
tophat,27.7929,0.848,7.5077,22.6006,0.9826,64.1809,2.7267,srgan_v
log,16.6847,0.7026,5.7544,9.023,0.8152,47.1066,12.2841,srgan_v
none,32.7642,0.9695,7.4596,17.4701,0.9843,65.1822,1.9989,srgan_v
