image,class,config,psnr,ssim,mse,rmse,mae,ambe,ncc,uqi,delta_e,enh_brightness,enh_contrast,enh_entropy,enh_eme,enh_avg_gradient,enh_laplacian_var,enh_colorfulness,enh_edge_density,enh_michelson,orig_brightness,orig_contrast,orig_entropy,orig_eme,orig_avg_gradient,orig_laplacian_var,orig_colorfulness,orig_edge_density,orig_michelson,cii,entropy_gain,sharpness_gain,eme_gain,colorfulness_gain
dyed_polyp_01.png,dyed_polyp,PAPER,27.7909,0.9002,84.9836,9.2187,6.6692,4.0436,0.9582,0.938,2.8906,35.5417,26.9387,5.8719,54.6223,17.6838,71.5415,34.6885,0.2991,1.0,31.4981,22.7802,5.7785,51.46,12.2568,49.7582,29.4224,0.0214,1.0,1.1825,0.0934,1.4428,1.0615,1.179
dyed_polyp_01.png,dyed_polyp,space:yiq,26.6876,0.9038,136.5597,11.6859,8.1837,6.935,0.9635,0.917,2.8574,38.4332,29.1121,5.7629,53.3149,17.8919,43.8741,28.0464,0.0366,0.9796,31.4981,22.7802,5.7785,51.46,12.2568,49.7582,29.4224,0.0214,1.0,1.278,-0.0156,1.4598,1.036,0.9532
dyed_polyp_01.png,dyed_polyp,space:ycrcb,26.5952,0.9058,139.7617,11.8221,8.3122,7.182,0.9645,0.9163,2.9564,38.6801,29.1779,5.745,24.0759,17.8764,44.5898,27.9935,0.0381,0.9796,31.4981,22.7802,5.7785,51.46,12.2568,49.7582,29.4224,0.0214,1.0,1.2808,-0.0335,1.4585,0.4679,0.9514
dyed_polyp_01.png,dyed_polyp,space:lab,26.7692,0.9149,134.3521,11.591,8.006,7.039,0.9698,0.92,2.9051,38.5372,29.4378,5.9543,24.2261,18.7039,46.7469,29.2421,0.0366,0.98,31.4981,22.7802,5.7785,51.46,12.2568,49.7582,29.4224,0.0214,1.0,1.2923,0.1758,1.526,0.4708,0.9939
dyed_polyp_01.png,dyed_polyp,space:hsi,26.0231,0.906,128.0011,11.3138,7.8633,6.3415,0.9605,0.9193,3.3209,37.8396,28.7841,5.7173,24.4125,17.9399,60.3639,37.0488,0.3067,0.9796,31.4981,22.7802,5.7785,51.46,12.2568,49.7582,29.4224,0.0214,1.0,1.2636,-0.0612,1.4637,0.4744,1.2592
dyed_polyp_01.png,dyed_polyp,contrast:clahe_sk,20.5117,0.5566,454.0677,21.3089,18.0652,13.5314,0.8621,0.77,8.2627,45.0295,31.3727,6.707,46.0083,32.8707,387.0472,41.7163,3.157,0.964,31.4981,22.7802,5.7785,51.46,12.2568,49.7582,29.4224,0.0214,1.0,1.3772,0.9285,2.6818,0.8941,1.4178
dyed_polyp_01.png,dyed_polyp,contrast:he,20.1967,0.6701,484.7723,22.0175,19.21,19.1997,0.9796,0.8292,8.7052,50.6978,32.0683,6.7413,47.499,24.8328,428.5865,43.343,0.1831,0.9818,31.4981,22.7802,5.7785,51.46,12.2568,49.7582,29.4224,0.0214,1.0,1.4077,0.9628,2.026,0.923,1.4731
dyed_polyp_01.png,dyed_polyp,contrast:bbhe,22.2695,0.7247,303.6642,17.426,12.7012,10.308,0.9505,0.847,5.1134,41.8061,33.7924,6.4643,20.6576,23.8424,136.9206,42.62,2.063,0.9474,31.4981,22.7802,5.7785,51.46,12.2568,49.7582,29.4224,0.0214,1.0,1.4834,0.6858,1.9452,0.4014,1.4486
dyed_polyp_01.png,dyed_polyp,contrast:dsihe,22.3892,0.6969,295.6367,17.1941,12.6702,9.1019,0.9343,0.8425,5.1273,40.6001,33.4032,6.4142,20.42,24.2721,153.9815,41.9268,2.8931,0.931,31.4981,22.7802,5.7785,51.46,12.2568,49.7582,29.4224,0.0214,1.0,1.4663,0.6357,1.9803,0.3968,1.425
dyed_polyp_01.png,dyed_polyp,contrast:agcwd,27.358,0.8221,91.7883,9.5806,7.8224,5.9146,0.9439,0.921,3.9252,25.5835,21.0645,5.2064,16.9809,13.2669,35.8936,26.4687,0.0244,0.881,31.4981,22.7802,5.7785,51.46,12.2568,49.7582,29.4224,0.0214,1.0,0.9247,-0.5721,1.0824,0.33,0.8996
