tone,contrast,upsample,psnr,ssim,entropy,eme,cii,colorfulness,delta_e
gamma,clahe,hu_wbi,23.0071,0.8261,7.5643,44.0238,0.9319,61.0521,5.2818
gamma,clahe,hu_wbi_literal,21.6807,0.8355,7.4682,22.454,0.9309,58.4974,5.735
gamma,agcwd,hu_wbi,23.0158,0.8539,6.189,11.2535,1.0108,62.5154,6.5144
gamma,agcwd,hu_wbi_literal,20.6728,0.8138,6.1763,10.5764,0.9949,59.5799,8.0134
gamma,stretch,hu_wbi,31.1583,0.9515,7.2451,15.7864,0.9933,65.4821,2.7994
gamma,stretch,hu_wbi_literal,25.8574,0.9204,7.1404,14.0123,0.9905,62.7808,4.6288
gamma,bpdfhe,hu_wbi,30.4073,0.9493,7.4553,15.3316,0.9792,64.0239,2.9053
gamma,bpdfhe,hu_wbi_literal,25.6462,0.9178,7.3143,13.8106,0.9816,62.1223,4.3561
gamma,he,hu_wbi,29.1341,0.9117,7.4719,36.1543,0.9481,64.924,3.0686
gamma,he,hu_wbi_literal,28.1318,0.9315,7.4685,19.815,0.9568,62.8387,3.2931
gamma,bbhe,hu_wbi,28.8,0.9141,7.4738,35.2654,0.9483,63.4268,3.1542
gamma,bbhe,hu_wbi_literal,25.3022,0.9319,7.383,16.4739,0.9475,60.9005,4.1957
gamma,dsihe,hu_wbi,28.8661,0.9138,7.467,34.2572,0.9512,63.2924,3.1094
gamma,dsihe,hu_wbi_literal,25.0963,0.9302,7.3659,15.7041,0.9461,60.7492,4.3095
afgt,clahe,hu_wbi,21.4356,0.8137,7.5851,47.3126,0.9024,59.6169,6.7288
afgt,clahe,hu_wbi_literal,20.8161,0.8025,7.596,53.4229,0.8966,62.0466,7.1964
afgt,agcwd,hu_wbi,26.0647,0.9338,7.5386,36.0411,0.9813,69.6035,4.4016
afgt,agcwd,hu_wbi_literal,22.5036,0.8934,7.5282,39.206,0.9539,69.8181,6.2846
afgt,stretch,hu_wbi,30.2355,0.9731,7.5442,18.8753,0.9739,63.7443,2.2681
afgt,stretch,hu_wbi_literal,33.9918,0.9521,7.5615,38.3884,0.9809,66.4108,1.7371
afgt,bpdfhe,hu_wbi,32.3463,0.9583,7.5435,34.2173,0.9557,65.1405,2.2512
afgt,bpdfhe,hu_wbi_literal,29.7877,0.946,7.5814,36.8498,0.9584,67.0244,2.9253
afgt,he,hu_wbi,29.2668,0.9334,7.5546,39.2353,0.9426,63.8587,2.8953
afgt,he,hu_wbi_literal,26.71,0.9106,7.5158,40.7787,0.9413,66.4526,3.7578
afgt,bbhe,hu_wbi,29.2093,0.9352,7.5541,38.2265,0.9424,63.3555,2.8757
afgt,bbhe,hu_wbi_literal,27.6688,0.9155,7.5202,40.7525,0.9436,66.0511,3.4316
afgt,dsihe,hu_wbi,29.3343,0.9378,7.5575,37.2118,0.9433,63.299,2.8157
afgt,dsihe,hu_wbi_literal,27.9801,0.918,7.5238,40.6261,0.9451,66.0046,3.3266
