color_space,upsample_method,contrast_method,sr_method,sr_actual,seconds,psnr,ssim,mse,rmse,mae,ambe,ncc,uqi,original_brightness,original_contrast,original_entropy,original_eme,original_avg_gradient,original_laplacian_var,original_colorfulness,original_edge_density,original_michelson,enhanced_brightness,enhanced_contrast,enhanced_entropy,enhanced_eme,enhanced_avg_gradient,enhanced_laplacian_var,enhanced_colorfulness,enhanced_edge_density,enhanced_michelson,cii,entropy_gain,sharpness_gain,eme_gain,colorfulness_gain
hsv,hu_wbi,clahe,none,none,0.019,27.246,0.8999,95.3576,9.7651,7.2511,2.9961,0.945,0.9287,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,44.0443,27.0801,6.3237,19.9123,28.7083,48.2172,38.9435,0.4639,0.8889,1.1892,0.5158,1.6474,1.4976,1.1408
hsv,hu_wbi,clahe_sk,none,none,0.035,21.6912,0.7103,346.2723,18.6084,14.5916,8.8712,0.894,0.8188,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,49.9194,33.1423,6.6829,23.2967,42.0981,150.5774,46.1189,10.1183,0.9008,1.4554,0.875,2.4158,1.7521,1.351
hsv,hu_wbi,he,none,none,0.013,21.6116,0.7909,360.2457,18.9801,15.5727,14.6018,0.9757,0.869,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,55.6499,33.2697,6.4886,21.3308,30.649,171.6305,48.1025,4.1802,0.9649,1.461,0.6807,1.7588,1.6043,1.4091
hsv,hu_wbi,bbhe,none,none,0.015,22.7037,0.7624,274.7447,16.5754,12.1917,7.872,0.9435,0.8595,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,48.9201,33.9671,6.26,17.1156,34.3109,110.28,46.2195,7.9644,0.8852,1.4916,0.4521,1.969,1.2872,1.3539
hsv,hu_wbi,dsihe,none,none,0.015,22.74,0.7462,270.3972,16.4438,12.2948,6.3787,0.9265,0.8517,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,47.4268,33.6011,6.2132,16.5066,34.5838,122.6294,45.418,9.0061,0.871,1.4755,0.4053,1.9846,1.2414,1.3305
hsv,hu_wbi,agcwd,none,none,0.014,26.0101,0.895,124.8609,11.1741,9.2527,8.491,0.9478,0.9213,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,32.5572,21.4691,5.8147,14.742,21.7729,33.7571,29.8603,0.51,0.8182,0.9428,0.0068,1.2495,1.1087,0.8747
hsv,hu_wbi,ssr,none,none,0.03,24.1922,0.8335,202.4897,14.2299,11.3499,8.5502,0.931,0.8887,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,49.5983,28.9633,6.7242,21.6172,31.0072,58.0213,43.4452,1.8392,0.968,1.2718,0.9163,1.7794,1.6258,1.2727
hsv,hu_wbi,msr,none,none,0.08,24.7679,0.8137,175.6189,13.2521,10.3075,7.3092,0.9369,0.8981,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,48.3573,29.0075,6.6598,22.3053,33.9604,68.949,42.8993,3.087,0.9528,1.2738,0.8519,1.9488,1.6775,1.2567
hsv,hu_wbi,stretch,none,none,0.014,24.0745,0.9087,202.6555,14.2357,11.9182,10.2703,0.9966,0.9151,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,51.3185,32.3738,6.3283,17.878,26.0309,41.2027,45.2805,0.3092,0.9328,1.4216,0.5204,1.4938,1.3446,1.3264
hsv,hu_wbi,tophat,none,none,0.014,30.8455,0.8988,43.0887,6.5642,4.9538,2.9413,0.9664,0.9636,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,38.1069,22.3964,6.0816,21.4792,28.2274,78.5439,33.2226,0.8111,0.875,0.9835,0.2737,1.6199,1.6154,0.9732
hsv,hu_wbi,log,none,none,0.014,23.072,0.8777,260.5345,16.1411,14.0686,13.8521,0.9783,0.8374,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,27.1961,15.4656,5.4429,16.0359,15.302,63.2685,23.2485,0.0651,0.8571,0.6791,-0.365,0.8781,1.206,0.681
hsv,hu_wbi,none,none,none,0.016,35.9347,0.9851,14.164,3.7635,3.226,3.0924,0.9971,0.9922,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,37.9557,21.4267,5.8908,14.7182,18.2835,29.2032,32.1659,0.0678,0.8444,0.9409,0.0829,1.0492,1.1069,0.9423
hsv,bicubic,clahe,none,none,0.014,27.2828,0.8945,94.5564,9.724,7.2726,3.0173,0.9464,0.9296,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,44.0655,27.1486,6.4016,20.3184,29.7451,73.0267,39.0121,0.7867,0.8727,1.1922,0.5937,1.7069,1.5281,1.1428
hsv,bicubic,clahe_sk,none,none,0.02,21.7285,0.6947,343.2355,18.5266,14.6109,8.7226,0.8973,0.8207,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,49.7708,33.3202,6.6159,23.3946,43.6598,265.3685,46.1337,10.5984,0.9008,1.4632,0.808,2.5055,1.7595,1.3514
hsv,bicubic,he,none,none,0.013,21.5541,0.7472,365.5211,19.1186,16.3187,15.07,0.9728,0.8698,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,56.1182,32.6689,6.4391,24.4828,33.8753,420.3182,48.1469,4.2074,0.9823,1.4346,0.6312,1.944,1.8413,1.4104
