color_space,upsample_method,contrast_method,sr_method,sr_actual,seconds,psnr,ssim,mse,rmse,mae,ambe,ncc,uqi,original_brightness,original_contrast,original_entropy,original_eme,original_avg_gradient,original_laplacian_var,original_colorfulness,original_edge_density,original_michelson,enhanced_brightness,enhanced_contrast,enhanced_entropy,enhanced_eme,enhanced_avg_gradient,enhanced_laplacian_var,enhanced_colorfulness,enhanced_edge_density,enhanced_michelson,cii,entropy_gain,sharpness_gain,eme_gain,colorfulness_gain
hsv,hu_wbi,clahe,srgan_v,srgan_v,0.552,27.7695,0.9018,85.4939,9.2463,7.2977,2.9738,0.9589,0.9382,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,44.0219,27.746,6.1048,17.8857,26.3484,53.461,38.9096,0.3554,0.9038,1.2184,0.2969,1.512,1.3452,1.1398
hsv,hu_wbi,clahe,none,none,0.014,27.246,0.8999,95.3576,9.7651,7.2511,2.9961,0.945,0.9287,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,44.0443,27.0801,6.3237,19.9123,28.7083,48.2172,38.9435,0.4639,0.8889,1.1892,0.5158,1.6474,1.4976,1.1408
hsv,hu_wbi,he,srgan_v,srgan_v,0.562,21.5514,0.7843,366.0012,19.1312,16.4905,14.5931,0.9748,0.8663,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,55.6413,33.4818,6.3823,18.551,27.4239,126.9532,47.9403,2.6611,0.9643,1.4703,0.5744,1.5737,1.3952,1.4043
hsv,hu_wbi,he,none,none,0.015,21.6116,0.7909,360.2457,18.9801,15.5727,14.6018,0.9757,0.869,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,55.6499,33.2697,6.4886,21.3308,30.649,171.6305,48.1025,4.1802,0.9649,1.461,0.6807,1.7588,1.6043,1.4091
hsv,hu_wbi,agcwd,srgan_v,srgan_v,0.567,26.367,0.8887,114.9925,10.7235,8.6325,8.1129,0.9515,0.9282,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,32.9352,21.9106,5.4415,13.7428,20.3061,47.3605,30.3759,0.4395,0.7959,0.9621,-0.3664,1.1653,1.0336,0.8898
hsv,hu_wbi,agcwd,none,none,0.014,26.0101,0.895,124.8609,11.1741,9.2527,8.491,0.9478,0.9213,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,32.5572,21.4691,5.8147,14.742,21.7729,33.7571,29.8603,0.51,0.8182,0.9428,0.0068,1.2495,1.1087,0.8747
yiq,hu_wbi,clahe,srgan_v,srgan_v,0.57,27.0039,0.8965,129.2514,11.3689,8.7884,6.0863,0.9701,0.926,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,47.1345,29.945,6.0778,17.8608,26.6684,59.6144,32.9871,0.4747,0.9107,1.315,0.2699,1.5304,1.3433,0.9663
yiq,hu_wbi,clahe,none,none,0.016,27.2542,0.9007,120.7652,10.9893,7.8876,5.5015,0.9584,0.9254,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,46.5497,28.7672,6.3846,19.4818,29.2316,55.6477,33.2787,0.6293,0.8793,1.2632,0.5767,1.6775,1.4652,0.9749
yiq,hu_wbi,he,srgan_v,srgan_v,0.569,15.8756,0.6352,1676.0212,40.9392,35.0705,34.001,0.9771,0.667,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,75.0491,44.5337,6.8167,18.2009,37.2708,266.0065,29.8303,7.5575,0.9444,1.9556,1.0088,2.1388,1.3689,0.8738
yiq,hu_wbi,he,none,none,0.015,15.8784,0.6136,1673.8477,40.9127,34.7259,33.5132,0.9765,0.6632,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,74.5614,45.1879,6.787,20.0546,40.7836,317.3166,29.6737,9.592,0.9583,1.9843,0.9791,2.3404,1.5083,0.8693
yiq,hu_wbi,agcwd,srgan_v,srgan_v,0.638,26.1716,0.8635,150.5618,12.2704,9.8099,8.7534,0.9262,0.8988,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,32.2948,21.5451,5.5306,12.8785,19.4094,60.0629,34.956,0.51,0.78,0.9461,-0.2773,1.1138,0.9686,1.024
yiq,hu_wbi,agcwd,none,none,0.016,26.8737,0.8892,133.6179,11.5593,9.564,8.7252,0.9432,0.9138,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,32.3229,20.9794,5.7435,14.056,21.2212,43.035,34.7331,0.5127,0.8163,0.9213,-0.0644,1.2178,1.0571,1.0175
ycrcb,hu_wbi,clahe,srgan_v,srgan_v,0.616,26.8117,0.8956,134.7506,11.6082,8.9852,6.3857,0.9698,0.9242,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,47.4339,30.0317,6.0557,17.8148,26.6234,61.6441,33.0143,0.2143,0.9107,1.3188,0.2478,1.5278,1.3398,0.9671
ycrcb,hu_wbi,clahe,none,none,0.015,27.0636,0.8993,125.8078,11.2164,8.0916,5.8941,0.9575,0.9239,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,46.9422,28.7282,6.424,19.4545,29.5498,58.9533,33.2941,0.6266,0.8803,1.2615,0.6161,1.6957,1.4631,0.9753
ycrcb,hu_wbi,he,srgan_v,srgan_v,0.579,15.7939,0.6243,1706.5583,41.3105,35.4656,35.2679,0.979,0.673,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,76.3161,43.2992,6.9458,17.0131,39.144,267.3524,29.8749,7.2238,0.9184,1.9014,1.1379,2.2463,1.2795,0.8751
ycrcb,hu_wbi,he,none,none,0.014,15.8058,0.6005,1700.812,41.2409,35.3166,34.231,0.9768,0.6641,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,75.2792,44.7243,6.8382,20.0152,42.8343,354.6938,29.7133,8.3523,0.9586,1.964,1.0303,2.4581,1.5053,0.8704
ycrcb,hu_wbi,agcwd,srgan_v,srgan_v,0.579,26.2938,0.864,148.1977,12.1736,9.6482,8.7267,0.9285,0.9018,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,32.3215,21.8487,5.7622,13.4032,19.9895,64.247,34.8713,0.6049,0.8,0.9594,-0.0457,1.1471,1.008,1.0215
ycrcb,hu_wbi,agcwd,none,none,0.015,27.0135,0.8895,129.9653,11.4002,9.4945,8.4925,0.9428,0.9152,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,32.5556,21.0621,5.7334,14.1873,21.2784,45.013,34.6112,0.453,0.8163,0.9249,-0.0745,1.2211,1.067,1.0139
yuv,hu_wbi,clahe,srgan_v,srgan_v,0.577,26.7846,0.8955,134.7917,11.61,8.9898,6.3879,0.9698,0.9241,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,47.436,30.0296,6.0462,17.9291,26.5981,61.7666,32.988,0.255,0.9107,1.3187,0.2383,1.5264,1.3484,0.9663
