metric,value
color_space,yiq
contrast_method,agcwd
upsample_method,bicubic
sr_method,ibp
sr_actual,ibp
sr_fallback,False
gamma,0.8
clip_limit,2.0
cn,0.85
sigma,1.0
color_transfer,True
visual_punch,False
psnr,26.6838
ssim,0.8273
mse,139.9894
rmse,11.8317
mae,9.7754
ambe,8.4388
ncc,0.9314
uqi,0.9047
delta_e,3.1267
original_brightness,41.2349
original_contrast,22.7777
original_entropy,5.8009
original_eme,13.3276
original_avg_gradient,13.6088
original_laplacian_var,10.5463
original_colorfulness,34.138
original_edge_density,0.0488
original_michelson,0.8125
enhanced_brightness,32.7961
enhanced_contrast,21.0446
enhanced_entropy,5.921
enhanced_eme,15.4165
enhanced_avg_gradient,18.7482
enhanced_laplacian_var,390.2589
enhanced_colorfulness,34.7065
enhanced_edge_density,0.1221
enhanced_michelson,0.8182
cii,0.9239
entropy_gain,0.1201
sharpness_gain,1.3777
eme_gain,1.1567
colorfulness_gain,1.0167
