color_space,upsample_method,contrast_method,sr_method,sr_actual,seconds,psnr,ssim,mse,rmse,mae,ambe,ncc,uqi,original_brightness,original_contrast,original_entropy,original_eme,original_avg_gradient,original_laplacian_var,original_colorfulness,original_edge_density,original_michelson,enhanced_brightness,enhanced_contrast,enhanced_entropy,enhanced_eme,enhanced_avg_gradient,enhanced_laplacian_var,enhanced_colorfulness,enhanced_edge_density,enhanced_michelson,cii,entropy_gain,sharpness_gain,eme_gain,colorfulness_gain
hsv,hu_wbi,clahe,none,none,0.022,27.246,0.8999,95.3576,9.7651,7.2511,2.9961,0.945,0.9287,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,44.0443,27.0801,6.3237,19.9123,28.7083,48.2172,38.9435,0.4639,0.8889,1.1892,0.5158,1.6474,1.4976,1.1408
hsv,hu_wbi,he,none,none,0.02,21.6116,0.7909,360.2457,18.9801,15.5727,14.6018,0.9757,0.869,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,55.6499,33.2697,6.4886,21.3308,30.649,171.6305,48.1025,4.1802,0.9649,1.461,0.6807,1.7588,1.6043,1.4091
hsv,hu_wbi,agcwd,none,none,0.015,26.0101,0.895,124.8609,11.1741,9.2527,8.491,0.9478,0.9213,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,32.5572,21.4691,5.8147,14.742,21.7729,33.7571,29.8603,0.51,0.8182,0.9428,0.0068,1.2495,1.1087,0.8747
hsv,hu_wbi,msr,none,none,0.083,24.7679,0.8137,175.6189,13.2521,10.3075,7.3092,0.9369,0.8981,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,48.3573,29.0075,6.6598,22.3053,33.9604,68.949,42.8993,3.087,0.9528,1.2738,0.8519,1.9488,1.6775,1.2567
hsv,bicubic,clahe,none,none,0.014,27.2828,0.8945,94.5564,9.724,7.2726,3.0173,0.9464,0.9296,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,44.0655,27.1486,6.4016,20.3184,29.7451,73.0267,39.0121,0.7867,0.8727,1.1922,0.5937,1.7069,1.5281,1.1428
hsv,bicubic,he,none,none,0.013,21.5541,0.7472,365.5211,19.1186,16.3187,15.07,0.9728,0.8698,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,56.1182,32.6689,6.4391,24.4828,33.8753,420.3182,48.1469,4.2074,0.9823,1.4346,0.6312,1.944,1.8413,1.4104
hsv,bicubic,agcwd,none,none,0.014,26.0014,0.8941,125.0295,11.1817,9.2592,8.513,0.948,0.9214,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,32.5351,21.4956,5.808,14.9124,22.3271,46.0784,29.8877,0.4557,0.8163,0.9439,0.0001,1.2813,1.1215,0.8755
hsv,bicubic,msr,none,none,0.082,24.7621,0.8085,175.7748,13.258,10.3018,7.2371,0.9359,0.8974,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,48.2853,28.9975,6.6599,22.9019,34.8884,97.3027,42.8835,3.8737,0.9528,1.2734,0.852,2.0021,1.7224,1.2562
yiq,hu_wbi,clahe,none,none,0.014,27.2542,0.9007,120.7652,10.9893,7.8876,5.5015,0.9584,0.9254,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,46.5497,28.7672,6.3846,19.4818,29.2316,55.6477,33.2787,0.6293,0.8793,1.2632,0.5767,1.6775,1.4652,0.9749
yiq,hu_wbi,he,none,none,0.014,15.8784,0.6136,1673.8477,40.9127,34.7259,33.5132,0.9765,0.6632,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,74.5614,45.1879,6.787,20.0546,40.7836,317.3166,29.6737,9.592,0.9583,1.9843,0.9791,2.3404,1.5083,0.8693
